rank_1based,id,name,network,symbol,private,created,proposalsCount,followersCount,cum_proposals,cum_coverage,is_selected
859,outcomefinance.eth,Outcome Finance Test,1,USDC,False,1661352383,48,10,125095,0.4182366491586454,True
860,24381.eth,deneme24381,1,VOTE,False,1704523039,48,4,125143,0.4183971300664324,True
861,bosibgis.eth,09,1,VOTE,False,1705658304,48,2,125191,0.4185576109742194,True
862,figasehren.eth,Edgar4ik,1,VOTE,False,1669829445,48,7,125239,0.4187180918820064,True
863,spiritswap.eth,SpiritSwap,250,inSPIRIT,False,1620351917,48,441,125287,0.4188785727897934,True
864,9⃣0⃣0.eth,Enchanter,1,GALXE passport,False,1690696681,48,24,125335,0.41903905369758043,True
865,klay.freesubs.eth,KLAYDAO,42161,ETH,False,1687568731,48,8,125383,0.4191995346053674,True
866,tunny.eth,tunny,1,SUSHI,False,1637403989,48,103,125431,0.41936001551315444,True
867,79798.eth,kmclub,1,VOTE,False,1691311482,48,518,125479,0.4195204964209414,True
868,ipswap.eth,ipswap,1,ETH,False,1643095616,47,26,125526,0.41967763397648283,True
869,agavedao.eth,Agave Finance,100,AGVE,False,1631216104,47,171,125573,0.4198347715320243,True
870,viter7.eth,Viter,1,VOTE,False,1683668273,47,3,125620,0.41999190908756573,True
871,sarcophagus-ambassadors.eth,Sarcophagus Ambassadors Voting,1,SARCO,False,1629505074,47,22,125667,0.4201490466431072,True
872,pozoaxel.eth,Zksync Airdrop,324,ETH,False,1707154987,47,426,125714,0.4203061841986486,True
873,0xsherlocker.eth,tomoon,1,VOTE,False,1688977713,47,6,125761,0.42046332175419004,True
874,lens.touchmeta.eth,Lens.Meta,1,LESM,False,1681730651,47,31,125808,0.4206204593097315,True
875,geomaticsengineer.eth,Geomatics Engineer,1,VOTE,False,1706773602,47,10,125855,0.42077759686527294,True
876,anhkhoa.eth,cau ca,1,VOTE,False,1708958386,47,1,125902,0.42093473442081436,True
877,dogen.eth,DOGEN,1,DOGEN,False,1619152058,47,1,125949,0.42109187197635584,True
878,hbot-ip.eth,Hummingbot Improvement Proposals,1,HBOT,True,1641200504,47,66,125996,0.42124900953189726,True
879,un1510.eth,投票专用,1,eth,False,1689608614,47,14,126043,0.4214061470874387,True
880,cryptexdao.eth,Cryptex,1,CTX,False,1623429445,47,81,126090,0.42156328464298015,True
881,eclipsex.eth,Testing Dao,1,Eth,False,1698741539,47,94,126137,0.42172042219852157,True
882,snapshot.movedao.eth,Movement DAO: Consensus Space,1,MOVE,False,1655693688,47,49,126184,0.421877559754063,True
883,erdaye77777777.eth,慎独社区,137,LM,True,1688447378,47,30,126231,0.42203469730960447,True
884,zunnoon.eth,SubDAO,4,A,False,1652773678,47,3,126278,0.4221918348651459,True
885,sexxdao.eth,SEXDAO,1,SED,False,1659617035,47,159,126325,0.4223489724206873,True
886,enjoyfree.eth,BountyHunterCrypto,1,VOTE,False,1689257014,47,19,126372,0.4225061099762288,True
887,4.spaceshot.eth,Ledger,4,LDGR,True,1643955490,47,9,126419,0.4226632475317702,True
888,muse.eth,MUSE dao,1,MUSEdao,False,1640450385,47,22,126466,0.4228203850873116,True
889,63329.eth,zks pua,1,VOTE,False,1698732385,47,8,126513,0.4229775226428531,True
890,tokenlon.eth,Tokenlon,1,LON,False,1614475514,47,1185,126560,0.4231346601983945,True
891,magicstoretest2.eth,MagicSquarePP,56,Magic_Vote,False,1684136756,47,17,126607,0.42329179775393594,True
892,lens.neveraskm.eth,G - M - L,137,Matic,True,1691066361,47,48,126654,0.4234489353094774,True
893,deepender.eth,Dfuse,1,VOTE,True,1686643318,47,5,126701,0.42360607286501883,True
894,graphadvocates.eth,Graph AdvocatesDAO,1,VOTE,False,1698367392,47,64,126748,0.42376321042056025,True
895,rokonetwork.eth,Roko Network,1,ROKO,False,1678219398,47,117,126795,0.42392034797610173,True
896,1faith1337.eth,AirDrop Bounty,1,VOTE,False,1680312647,47,35,126842,0.42407748553164315,True
897,devdao.eth,Developer DAO,1,CODE,False,1634683272,47,3613,126889,0.42423462308718457,True
898,longr.eth,longr,137,VOTE,False,1691052201,47,0,126936,0.42439176064272605,True
899,babybirdezdao.eth,Baby Birdez DAO,1,BABY,False,1643622160,47,224,126983,0.42454889819826747,True
900,g-dao.eth,G DAO,1,G,False,1662446680,47,66295,127030,0.42470603575380894,True
901,ainetwork.eth,AI Network,1,AIN,False,1641176932,46,35,127076,0.4248598299571048,True
902,🤙🤙🤙🤙🤙🤙.eth,eth,1,VOTE,False,1647224387,46,3,127122,0.42501362416040067,True
903,mnkzvote.eth,Cryptomonkz,1,VOTE,False,1660699186,46,40,127168,0.42516741836369654,True
904,vote.yangzhao.eth,YZ's Stash,1,YZT,False,1633923749,46,6,127214,0.4253212125669924,True
905,9120000.eth,cuimioa,56,VOTE,False,1691294690,46,1,127260,0.4254750067702883,True
906,豆浆哥69.eth,小黑子大本营,1,VOTE,False,1687260694,46,14,127306,0.4256288009735842,True
907,ododao.eth,ODO DAO,42161,D5,False,1693559434,46,6,127352,0.42578259517688005,True
908,test6.shot.eth,Strio,4,SSTRIO,False,1631637241,46,90,127398,0.4259363893801759,True
909,likaiwendeyuming.eth,likaiwen,1,AC,False,1688186182,46,9,127444,0.4260901835834718,True
910,bitholic.eth,Snapshot free votes,1,ETH,False,1707040137,46,161,127490,0.4262439777867677,True
911,danagain.eth,dana gain,1,VOTE,False,1686902533,46,1,127536,0.42639777199006357,True
912,chinese.openuse.eth,CHINESEDAO,42161,ETH,False,1687510039,46,11,127582,0.42655156619335943,True
913,loopclub.eth,LOOP CLUB,1,LOOP,False,1644590923,46,3,127628,0.4267053603966553,True
914,tracer.eth,Tracer,1,TCR,False,1614724534,46,588,127674,0.42685915459995116,True
915,oopamob.eth,OOPA Mob,43114,OOPA,False,1679793474,46,38,127720,0.4270129488032471,True
916,morpheusswap.eth,MorpheusSwap,250,PILLS,False,1638448623,46,36,127766,0.42716674300654295,True
917,atlascorp.eth,Atlas Corporation,1,Cryptic Units,False,1642014134,46,12,127812,0.4273205372098388,True
918,babijon.eth,Babijon DAO,56,VOTE,False,1688113095,46,90,127858,0.4274743314131347,True
919,9gagmemegod.eth,9gagMemeGod,1,ETH,False,1698630162,46,109,127904,0.42762812561643054,True
920,axiao.eth,xiao,1,VOTE,False,1688315984,46,32,127950,0.42778191981972646,True
921,netnet.eth,ArcherNice,1,stable,False,1637381952,46,22,127996,0.42793571402302233,True
922,gcverseofmeta.eth,The Alien Club,1,VOTE,False,1676885176,46,46,128042,0.4280895082263182,True
923,rehashweb3.eth,Rehash DAO,1,HASH,False,1651532700,46,42,128088,0.42824330242961406,True
924,nadiva.eth,Airdrop Scale,137,MATIC,True,1696968265,46,62,128134,0.42839709663291,True
925,frp.eth,FRP,1,FRP,False,1646583877,46,1,128180,0.42855089083620584,True
926,bilibilizz.eth,test,1,VOTE,False,1686635645,46,120,128226,0.4287046850395017,True
927,0xclothing.eth,QuickSnap Trial Space,1,VOTE,True,1683104829,46,12,128272,0.4288584792427976,True
928,supported.eth,polygon Maitc,137,MATIC,False,1639299667,46,1035,128318,0.42901227344609344,True
929,samiysmeliy.eth,Test vote,1,VOTE,False,1695653205,45,20,128363,0.42916272429714375,True
930,zxxag.eth,200n,1,VOTE,False,1687940520,45,19,128408,0.4293131751481941,True
931,samuv.eth,SpaceDAO,8,SMS,True,1618809622,45,89,128453,0.4294636259992444,True
932,premia.eth,Premia,1,PREMIA,False,1612807230,45,296,128498,0.42961407685029473,True
933,kamalcrypto.eth,test,137,MATIC,False,1686747767,45,42,128543,0.42976452770134504,True
934,vsheng.eth,eth dao,137,eth,False,1640519607,45,50,128588,0.42991497855239535,True
935,zdravstvuite1222.eth,maverick,1,VOTE,False,1691482670,45,1,128633,0.43006542940344566,True
936,ethereum♏erge.eth,Manav ,137,VOTE,False,1700425639,45,5,128678,0.430215880254496,True
937,boringvote.eth,BoringDAO,1,BoringDAO VS,False,1606112621,45,66,128723,0.4303663311055463,True
938,yyy102.eth,二个人去西藏,1,vote,False,1690879194,45,33,128768,0.4305167819565966,True
939,0x676869.eth,Joe Dao,1,VOTE,False,1689266884,45,23,128813,0.4306672328076469,True
940,semeshin49.eth,Semeshin49,1,VOTE,False,1691561356,45,40,128858,0.4308176836586972,True
941,cream-listing.eth,Cream Listing,1,CREAM (NFT),False,1624441476,45,26,128903,0.4309681345097475,True
942,lulegenda.eth,Legenda,1,VOTE,False,1695823243,45,4,128948,0.43111858536079783,True
943,zombiezdao.eth,Crypto Zombiez DAO,1,ZOMBIE,False,1634955857,45,325,128993,0.43126903621184814,True
944,printerfinancial.eth,Printer Financial (Fantom),1666600000,INK,False,1645108231,45,19,129038,0.4314194870628985,True
945,0xchenliang.eth,0xchenliang,1,eth,False,1649060708,45,26,129083,0.4315699379139488,True
946,superumans.eth,SuperUMAn DAO,137,SUPA,False,1643996324,45,51,129128,0.43172038876499913,True
947,368688.eth,爆富空间,1,1,False,1691038544,45,25,129173,0.43187083961604944,True
948,gfanchan11.eth,USDC-DAO-Polygon,137,USDC,False,1639926743,45,113,129218,0.43202129046709975,True
949,wb3lens.eth,luky,1,VOTE,False,1690279166,44,16,129262,0.4321683979659045,True
950,candydaowb.eth,搞gitcoin的来,1,eth,False,1688061733,44,28,129306,0.43231550546470926,True
951,s2345.eth,Stone,56,note,False,1688908827,44,15,129350,0.432462612963514,True
952,8888998898.eth,xzczx,1,VOTE,False,1704175865,44,1,129394,0.43260972046231877,True
953,heart.test1534525.eth,Test General Space,5,TTKN,False,1658253698,44,14,129438,0.4327568279611235,True
954,我长成这样是为了让人看起来更想拥抱.eth,kkkkk5,1,vote,False,1688013548,44,38,129482,0.4329039354599282,True
955,078087.eth,OK,1,VOTE,False,1684638114,44,30,129526,0.433051042958733,True
956,31332.eth,Female Crypto Punk,1,VOTE,False,1708358087,44,4,129570,0.43319815045753773,True
957,euro.joints.eth,EURODAO,1,ETH,False,1687573902,44,13,129614,0.4333452579563425,True
958,infinitelaunch.eth,Infinite Launch,56,ILA,False,1644427259,44,78,129658,0.43349236545514724,True
959,spring-dao,SpringDAO,1,SPRNG,False,1620456804,44,4,129702,0.433639472953952,True
960,puertorikanec.eth,DEFI MAFIA,1,DEFIBRO,False,1690983244,44,47,129746,0.43378658045275675,True
961,turkeyankara.eth,turkey,1,VOTE,False,1687788897,44,5,129790,0.4339336879515615,True
962,leukosedu.eth,leukosedudao,5,EDUDao,True,1673080381,44,477,129834,0.43408079545036626,True
963,vidt-dao.eth,VIDT DAO,1,VIDT,False,1662019019,44,32,129878,0.434227902949171,True
964,kumitenft.eth,Kumite Vortex Tournament,1,Votes,False,1657588362,44,138,129922,0.4343750104479758,True
965,sekrè.eth,刷4,137,matic,False,1688290804,44,42,129966,0.43452211794678053,True
966,smartcommunity.eth,SMART DAO,1,Vote,False,1690831235,44,307,130010,0.4346692254455853,True
967,neworderdao.xyz,New Order,1,NEWO,False,1638849150,44,249,130054,0.43481633294439004,True
968,mantra-dao.eth,MANTRA,1,OM,False,1625107526,44,1378,130098,0.4349634404431948,True
969,rook.eth,Rook,1,ROOK,False,1630940875,44,248,130142,0.43511054794199955,True
970,cccdd.eth,zkSync DAO,1,USDC,False,1698043480,44,508,130186,0.4352576554408043,True
971,kuiyou.eth,YOU AIR,1,RHC-DAO,False,1663485632,44,49,130230,0.435404762939609,True
972,63226.eth,我昨天做梦了,1,VOTE,False,1698732404,44,2,130274,0.43555187043841376,True
973,free.ensmaxisfam.eth,freeDAO,42161,ETH,False,1687510180,43,49,130317,0.43569563458497296,True
974,ethlizards.eth,Ethlizards,1,LIZARD,False,1645270273,43,479,130360,0.43583939873153216,True
975,flyfox.eth,test space - zaq,1,VOTE,False,1686911381,43,22,130403,0.43598316287809136,True
976,smbdao.eth,SMB Dao,137,SMB,True,1651006512,43,14,130446,0.43612692702465056,True
977,thelyceum.eth,The Lyceum,1,VOICE,False,1629395947,43,23,130489,0.4362706911712097,True
978,corpa4o.eth,dzi-vak,1,VOTE,False,1686780295,43,0,130532,0.4364144553177689,True
979,wooohooo.eth,Dev - Innovation Realized 23,80001,IR23,False,1681173567,43,7,130575,0.4365582194643281,True
980,sybilsiscancer.eth,user,1,true,False,1708273618,43,30,130618,0.4367019836108873,True
981,acet.eth,tt5,1,VOTE,False,1684764431,43,1,130661,0.4368457477574465,True
982,berkut.eth,Berkuts,1,Berkuts,False,1681055613,43,18,130704,0.43698951190400565,True
983,bobolala.eth,bobolala,1,VOTE,False,1689608790,43,49,130747,0.43713327605056485,True
984,iyonger.eth,17dao,137,matic,False,1686985423,43,42,130790,0.43727704019712405,True
985,arasangka.eth,PolyTest,1,VOTE,False,1700907626,43,15,130833,0.43742080434368324,True
986,treasuregaming.eth,Treasure,42161,gMAGIC,False,1676771843,43,8738,130876,0.43756456849024244,True
987,anthuong27.eth,Thaizksync,1,VOTE,False,1703570142,43,22,130919,0.4377083326368016,True
988,oiufbgggfdd.eth,jbnbn,1,VOTE,False,1704528435,43,16,130962,0.4378520967833608,True
989,based,mbBASED,1,mbBASED,False,1620456718,43,13,131005,0.43799586092992,True
990,gov.bloomstudio.eth,Bloom Studio,42161,XP,False,1705892081,43,21,131048,0.4381396250764792,True
991,xiaowukong.eth,DragonBall,10,OP,False,1637400203,43,195,131091,0.4382833892230384,True
992,51588.eth,matic c,137,MATIC,False,1637397298,42,490,131133,0.438423810017352,True
993,originalbitcoin.eth,Meow Club,1,VOTE,False,1688199873,42,11,131175,0.4385642308116656,True
994,godsgirl.eth,godsgirl,1,AAVE,False,1637401367,42,85,131217,0.43870465160597927,True
995,anatadao.eth,Anata,1,ANATA,True,1650744428,42,88,131259,0.43884507240029286,True
996,so3.sieunhancam.eth,The Cupic World,1,WLD,False,1689838657,42,0,131301,0.4389854931946065,True
997,pangolindex.eth,Pangolin,43114,PNG,False,1615476492,42,1087,131343,0.43912591398892015,True
998,wantairdrop.eth,tttt,1,VOTE,False,1708282847,42,23,131385,0.43926633478323374,True
999,sergms.eth,Tester1,1,eth,False,1707995513,42,60,131427,0.4394067555775474,True
1000,rvrsprotocol.eth,Reverse Protocol,42161,RVRS,False,1643747842,42,64,131469,0.439547176371861,True
1001,zksynceraeth.eth,12r34gr43,1,1,False,1707630658,42,149,131511,0.4396875971661746,True
1002,dongfang.eth,keji,56,niub,True,1635750718,42,40,131553,0.43982801796048826,True
1003,hunghung1.eth,hung,1,VOTE,False,1691156404,42,5,131595,0.4399684387548019,True
1004,spidorak.eth,Amonitas,1,VOTE,False,1707220799,42,5,131637,0.4401088595491155,True
1005,eboos.eth,Eboos,1,EBOO,False,1646903899,42,53,131679,0.44024928034342914,True
1006,hbot-dev.eth,Hummingbot Test Environment,4,HBOT,False,1630910131,42,15,131721,0.4403897011377428,True
1007,retokendao.eth,pToken™ Assets,8453,🪙 pToken™ Assets,False,1629851284,42,58,131763,0.4405301219320564,True
1008,test1.testname.eth,Test 1 DAO,4,TST,True,1627694287,42,1,131805,0.44067054272637,True
1009,magistrr.eth,Phi Land,1,VOTE,False,1669563654,42,108,131847,0.44081096352068366,True
1010,experimentalgardengroup.eth,Experimental Garden Group,1,EGG,False,1645555293,42,17,131889,0.44095138431499725,True
1011,gmgdao.eth,Green Mining DAO,137,GREENS,False,1670423344,42,55,131931,0.4410918051093109,True
1012,optimismio.eth,Ar,1,ETH,False,1637483865,42,1150,131973,0.44123222590362454,True
1013,caoduyen.eth,DUYENCAO,1,VOTE,False,1706074164,42,1,132015,0.44137264669793813,True
1014,kourosh-hamdi.eth,Kourosh Hamdi,1,VOTE,False,1688370635,42,0,132057,0.4415130674922518,True
1015,haidee9.eth,gshga,1,VOTE,False,1688221308,42,114,132099,0.4416534882865654,True
1016,maxvell337.maxvell337.eth,111,5,ETH,False,1688286059,42,8,132141,0.441793909080879,True
1017,drakowiththedrum.eth,wedaad,1,VOTE,False,1688530498,42,39,132183,0.44193432987519266,True
1018,nextrope.eth,nextrope,1,ETH,False,1646985904,42,12,132225,0.4420747506695063,True
1019,hoaivy88.eth,Zksync airdrop ,1,VOTE,False,1706945615,41,26,132266,0.44221182811157433,True
1020,strayshot.eth,StrayShot,1,VOTE,False,1695818531,41,589,132307,0.4423489055536424,True
1021,nostalgiadao.eth,Nostalgia,137,nGAIA,False,1647220817,41,7,132348,0.44248598299571046,True
1022,beautyblossom.eth,刷9,137,matic,False,1688293409,41,22,132389,0.44262306043777855,True
1023,atlaslyons.eth,The Atlas Lyons Club,1,ALC,True,1649112363,41,18,132430,0.4427601378798466,True
1024,vokmolh37.eth,37军团,1,VOTE,False,1691131905,41,14,132471,0.4428972153219147,True
1025,betadao.eth,Beta DAO,56,BETA,False,1702440650,41,27,132512,0.44303429276398276,True
1026,linnea9.eth,gsjajf,1,VOTE,False,1688360387,41,55,132553,0.4431713702060508,True
1027,a9u13a.eth,666,1,VOTE,True,1684763415,41,43,132594,0.4433084476481189,True
1028,65236.eth,镜头动态,1,VOTE,False,1698732405,41,3,132635,0.4434455250901869,True
1029,latticegov.eth,Lattice Gateway,1,veLTX,False,1615791348,41,335,132676,0.443582602532255,True
1030,sekrènft.eth,刷3,137,matic,False,1688289929,41,43,132717,0.44371967997432304,True
1031,lifan.eth,lifan,137,MATIC,False,1645774383,41,2,132758,0.44385675741639113,True
1032,shibadogepound.eth,ShibaDogePound DAO,1,SHIBDOGE,False,1655854464,41,116,132799,0.44399383485845917,True
1033,qiaodong.eth,Matic chinese,1,MATIC,False,1694266275,41,21,132840,0.44413091230052726,True
1034,idiotsdaovote.eth,Idiot$DAO,1,IDIOT,False,1645320610,41,21,132881,0.4442679897425953,True
1035,mstruggle.eth,DREAM DAO,137,MATIC,False,1639270534,41,28,132922,0.4444050671846634,True
1036,hengah.eth,hengah,1,ETH,False,1688873745,41,7,132963,0.4445421446267314,True
1037,caiserwilgelm2.eth,Caiser,1,VOTE,True,1694418228,41,46,133004,0.4446792220687995,True
1038,fengtality.eth,HBOT Test Space,1,HBOT,True,1672688222,41,2,133045,0.44481629951086754,True
1039,hudsoon.eth,Degen Club,137,vote,False,1689205409,41,304,133086,0.44495337695293563,True
1040,036765.eth,Diane Hayes,1,FUNPASS,False,1688452447,41,31,133127,0.4450904543950037,True
1041,140831.eth,比特投票圈,1,VOTE,True,1691990037,41,66,133168,0.44522753183707175,True
1042,ringfi.eth,3432,1,VOTE,False,1684764338,40,0,133208,0.44536126592689423,True
1043,dualityxo.eth,Duality STG,1,VOTE,False,1685213718,40,31,133248,0.44549500001671677,True
1044,tigervc-dao.eth,Tiger VC DAO,1,Tiger,False,1655619939,40,100,133288,0.44562873410653925,True
1045,dokgo.eth,ZkSync airdrop in March?,1,VOTE,False,1707197759,40,16,133328,0.4457624681963618,True
1046,zhaoruichen.eth,zhaoruichen,56,VOTE,False,1688176963,40,32,133368,0.44589620228618426,True
1047,shrekterino.eth,Ziki Halil,1,VOTE,False,1691597107,40,15,133408,0.44602993637600674,True
1048,jy005.eth,sdfgdfgfh,1,vote,False,1690946681,40,3,133448,0.4461636704658293,True
1049,zombiesdao.eth,ZombieCatsDAO,1,ZOMCATS,False,1633675452,40,153,133488,0.44629740455565176,True
1050,sixxx.eth,sixxx,137,VOTE,False,1691057694,40,2,133528,0.4464311386454743,True
1051,8585.plurofficial.eth,GFHGFJGFJ,1,OAT,False,1687765132,40,68,133568,0.44656487273529677,True
1052,viettel.lianvass.eth,viettel,42161,DAO,True,1691808794,40,0,133608,0.44669860682511925,True
1053,deepworkstudio.eth,Deep Work,1,DEEP,False,1639405535,40,17,133648,0.4468323409149418,True
1054,unlock-dao.eth,Unlock DAO,8453,UP,False,1724198834,40,31,133688,0.44696607500476426,True
1055,okxleader.eth,OK Fan Club,1,OKX,False,1691894872,40,19,133728,0.4470998090945868,True
1056,deskvoting.eth,DESK,137,DESK,False,1651865360,40,2393,133768,0.4472335431844093,True
1057,peoplepay.eth,DARB GG CLUB,1,ETH,False,1665636566,40,28,133808,0.44736727727423176,True
1058,99822.eth,diamond dao,1,MATIC,False,1686636617,40,29,133848,0.4475010113640543,True
1059,oracles.opiumprotocol.eth,Opium Oracles,1,OPIUM,False,1614571873,40,4,133888,0.44763474545387677,True
1060,sendmeyourdrop.eth,weeeee,1,VOTE,False,1708291485,40,11,133928,0.4477684795436993,True
1061,lingjueidng.eth,linea,1,VOTE,False,1686709292,40,22,133968,0.4479022136335218,True
